index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
22	7.0	0.2537	time, support, stop, end, policy, year, step, realdonaldtrump, thousand, child	1132331420729454597	18137	https://www.nbcnews.com/politics/national-security/trump-bypasses-congress-push-through-arms-sales-saudis-uae-n1010116	https://twitter.com/SenWarren/status/1132331420729454597	7568	1558803780	.  @realDonaldTrump wants to keep selling American weapons to his Saudi buddies. But he knows Congress won't approve selling to a regime that's bombed thousands of Yemeni civilians and murdered journalist Jamal Khashoggi – so he's trying to go around us.  ...	[]	['realDonaldTrump']		SenWarren
23	14.0	0.1675	make, crisis, real, system, puerto_rico, risk, world, face, proud, leave	1132015126096351232	1545	https://www.bostonglobe.com/metro/2019/05/24/state-veterans-boss-disappointed-and-angered-over-vandalism-dorchester-vietnam-memorial/JuKvqrDN3awZwwXLHNMIBO/story.html?event=event12	https://twitter.com/SenWarren/status/1132015126096351232	375	1558728360	This is a despicable act of cowardice. This vandalism is meant to divide us – but I know it only strengthens the resolve of the people of Dorchester and the Commonwealth of Massachusetts to remember and honor those who made the ultimate sacrifice. ...	[]	[]		SenWarren
24	14.0	0.1111	make, crisis, real, system, puerto_rico, risk, world, face, proud, leave	1131969073217196032	1944	https://twitter.com/DavidBegnaud/status/1131720803123421184	https://twitter.com/SenWarren/status/1131969073217196032	466	1558717380	Last week,  @SenatorMenendez,  @NydiaVelazquez & I questioned  @FEMA about the delays. Now, the agency has confirmed the hospital on Vieques will be rebuilt. It's a critical win for the people of Puerto Rico – and we’ll be with them every step of the way. ...	[]	['SenatorMenendez', 'NydiaVelazquez', 'FEMA']		SenWarren
25	14.0	0.1282	make, crisis, real, system, puerto_rico, risk, world, face, proud, leave	1131969072349028352	2504	https://www.nbcnews.com/news/latino/puerto-rican-island-vieques-still-has-no-hospital-democrats-demand-n1006641	https://twitter.com/SenWarren/status/1131969072349028352	1000	1558717380	For nearly 2 years, 9,000 US citizens living on the island of Vieques, Puerto Rico haven't had access to a local hospital. Theirs was destroyed in Hurricane Maria, and despite promises to rebuild,  @FEMA kept delaying the project. ...	[]	['FEMA']		SenWarren
26	14.0	0.1907	make, crisis, real, system, puerto_rico, risk, world, face, proud, leave	1131943865055944704	2103	https://www.npr.org/2019/05/23/726237046/senate-reaches-deal-on-disaster-aid-package-as-trump-pivots-to-support-it?utm_medium=social&utm_term=nprnews&utm_campaign=politics&utm_source=twitter.com	https://twitter.com/SenWarren/status/1131943865055944704	395	1558711380	Last night, I voted for a major bipartisan disaster relief package that will help people across the country recover from natural disasters like hurricanes, flooding, and wildfires. When we work together, our nation comes out on top. ...	[]	[]		SenWarren
27	0.0	0.2222	company, protect, cfpb, hold, accountable, consumer, equifax, agency, force, report	1131712260039172096	1308	https://twitter.com/jecdems/status/1131594273999249412	https://twitter.com/SenWarren/status/1131712260039172096	335	1558656180	10 years ago this week, Congress passed a bipartisan bill to help get the tricks & traps out of the fine print of credit card agreements – but the fight’s not over. We need a strong  @CFPB to hold credit card companies accountable when they cheat customers & break the law. ...	[]	['CFPB']		SenWarren
28	1.0	0.101	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1131663957373214720	3701	https://twitter.com/SenBlumenthal/status/1131549891161927682	https://twitter.com/SenWarren/status/1131663957373214720	874	1558644660	I'm proud to cosponsor the Women’s Health Protection Act. It would  #StopTheBans by enshrining Roe v. Wade into federal law – ensuring everyone in this country has access to abortion, no matter where they live.  #ActForWomen ...	['StopTheBans', 'ActForWomen']	[]		SenWarren
29	7.0	0.1164	time, support, stop, end, policy, year, step, realdonaldtrump, thousand, child	1131644177526284288	13109	https://twitter.com/SenWarren/status/1131258666655657984	https://twitter.com/SenWarren/status/1131644177526284288	4419	1558639920	I was wrong. It's not 5 children dead – it's SIX. The Trump Admin just disclosed a 10-yr-old girl died in federal custody last year. Are there more we don't know about? We need oversight. We need accountability. We need to do everything we can to keep this from happening again. ...	[]	[]		SenWarren
30	11.0	0.1205	realdonaldtrump, law, wellsfargo, president, investigation, fire, show, justice, accountability, charge	1131622884051476480	3916	https://twitter.com/forrespect/status/1131548201658535936	https://twitter.com/SenWarren/status/1131622884051476480	1093	1558634880	I stand with  @AOC,  @forrespect, and the 250,000 workers who lost jobs and severance pay when Wall Street fat cats  @StevenMnuchin1 and Eddie Lampert gutted companies like  @Sears. Together, we'll keep fighting for justice, accountability, and better futures for all. ...	[]	['AOC', 'forrespect', 'StevenMnuchin1', 'Sears']		SenWarren
31	4.0	0.1282	work, american, worker, pay, government, job, deserve, hard, corporate, wage	1131535664888057856	7211	https://www.washingtonpost.com/business/2019/04/19/sears-is-suing-steven-mnuchin-other-former-board-members/	https://twitter.com/SenWarren/status/1131535664888057856	2255	1558614060	Washington is supposed to work for everyone. Instead, the rich & powerful like  @StevenMnuchin1 & Eddie Lampert use it to become even more rich & powerful, while workers are left holding the bag. This is the DC swamp at its worst. ...	[]	['StevenMnuchin1']		SenWarren
