index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
628	12.0	0.0833	make, honor, crime, stand, homeowner, lead, sacrifice, award, court, reform	223204926245978112	3	http://bit.ly/N3Mw1w	https://twitter.com/KamalaHarris/status/223204926245978112	13	1342051140	Today, California homeowners won.  	[]	[]	pic.twitter.com/vgubCp7Y	KamalaHarris
629	5.0	0.097	ca, truancy, talk, child, school, homeowner_bill, reduce, crisis, foreclosure, read	223115036305010688	10	http://bit.ly/N3Mw1w	https://twitter.com/KamalaHarris/status/223115036305010688	54	1342029720	This is a great day for Californians.  @JerryBrownGov just signed the CA Homeowner Bill of Rights 	[]	['JerryBrownGov']		KamalaHarris
630	5.0	0.0929	ca, truancy, talk, child, school, homeowner_bill, reduce, crisis, foreclosure, read	223100315245871105	1	http://bit.ly/MZSpNT	https://twitter.com/KamalaHarris/status/223100315245871105	3	1342026180	Watch  @JerryBrownGov sign CA Homeowner Bill of Rights LIVE here:   #HBOR	['HBOR']	['JerryBrownGov']		KamalaHarris
631	5.0	0.092	ca, truancy, talk, child, school, homeowner_bill, reduce, crisis, foreclosure, read	222811617111445504	1		https://twitter.com/KamalaHarris/status/222811617111445504	8	1341957360	Looking forward to joining  @JerryBrownGov at signing of CA Homeowner Bill of Rights tomorrow.  #HBOR	['HBOR']	['JerryBrownGov']		KamalaHarris
632	1.0	0.0952	family, hope, healthcare, office, jerrybrowngov, birthday, long, mortgage, company, drug	219909678707118080	2	http://bit.ly/N4vUl7	https://twitter.com/KamalaHarris/status/219909678707118080	13	1341265500	 #CALeg just passed the CA  #HomeownerBillofRights! Watch LIVE press conference:   #hbor	['CALeg', 'HomeownerBillofRights', 'hbor']	[]		KamalaHarris
633	13.0	0.0967	vote, time, election, county, democratic, smart, call, sunday, june, party	219880155504574464	0	http://bit.ly/MpuGSC	https://twitter.com/KamalaHarris/status/219880155504574464	4	1341258480	 #CALeg to vote on  #HomeownerBillofRights today. How would your family benefit? 	['CALeg', 'HomeownerBillofRights']	[]		KamalaHarris
634	13.0	0.0936	vote, time, election, county, democratic, smart, call, sunday, june, party	219844837409693696	2	http://1.usa.gov/OTLupE	https://twitter.com/KamalaHarris/status/219844837409693696	3	1341250020	Call your Legislators this morning and make sure they are voting FOR the CA  #HomeownerBillofRights. Phone #'s: 	['HomeownerBillofRights']	[]		KamalaHarris
635	2.0	0.0838	president, important, barackobama, obama, campaign, american, sign, endorse, good, deserve	219656432604295169	1	http://bit.ly/M09yDp	https://twitter.com/KamalaHarris/status/219656432604295169	5	1341205140	I remember a grandmother who burst into tears as she described her foreclosure ordeal...   #HomeownerBillofRights	['HomeownerBillofRights']	[]		KamalaHarris
636	2.0	0.1173	president, important, barackobama, obama, campaign, american, sign, endorse, good, deserve	219645268205899776	1	http://bit.ly/M09yDp	https://twitter.com/KamalaHarris/status/219645268205899776	17	1341202440	Californians deserve better than this. They deserve relief now.   #HomeownerBillofRights	['HomeownerBillofRights']	[]		KamalaHarris
637	2.0	0.0975	president, important, barackobama, obama, campaign, american, sign, endorse, good, deserve	218418272587104256	0	http://fb.me/18ulgunZM	https://twitter.com/KamalaHarris/status/218418272587104256	9	1340909940	Today’s decision is a historic victory for Californians, for the President, and for the country. The Affordable... 	[]	[]		KamalaHarris
