index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
6018	3.0	0.1508	year, job, good, time, high, history, number, economy, low, record	862265729718128641	72299		https://twitter.com/realDonaldTrump/status/862265729718128641	15971	1494415140	James Comey will be replaced by someone who will do a far better job, bringing back the spirit and prestige of the FBI.	[]	[]		realDonaldTrump
6019	0.0	0.145	fake_news, bad, medium, time, story, call, report, show, news, white_house	862263649821503489	68923		https://twitter.com/realDonaldTrump/status/862263649821503489	16834	1494414600	The Democrats have said some of the worst things about James Comey, including the fact that he should be fired, but now they play so sad!	[]	[]		realDonaldTrump
6020	2.0	0.137	big, state, win, happen, give, congratulation, republican, maga, leave, governor	862135824745467905	85985		https://twitter.com/realDonaldTrump/status/862135824745467905	25746	1494384120	"Cryin' Chuck Schumer stated recently, I do not have confidence in him (James Comey) any longer."" Then acts so indignant.  #draintheswamp"""	['draintheswamp']	[]		realDonaldTrump
6021	3.0	0.2144	year, job, good, time, high, history, number, economy, low, record	862059314277748736	40225	http://www.washingtonexaminer.com/manufacturing-openings-hires-rise-to-highest-levels-of-the-recovery/article/2622515	https://twitter.com/realDonaldTrump/status/862059314277748736	8715	1494365880	'Manufacturing openings, hires rise to highest levels of the recovery' ...	[]	[]		realDonaldTrump
6022	1.0	0.1349	president, work, america, hard, speak, head, thing, incredible, interview, proud	861993986436866049	48580		https://twitter.com/realDonaldTrump/status/861993986436866049	8823	1494350340	It was an honor to welcome the Teachers of the Year to the WH last month. Today, we honor and thank all teachers!  #NationalTeachersDay	['NationalTeachersDay']	[]	pic.twitter.com/0gj8TIRa5y	realDonaldTrump
6023	0.0	0.1762	fake_news, bad, medium, time, story, call, report, show, news, white_house	861715019674910721	49126		https://twitter.com/realDonaldTrump/status/861715019674910721	12594	1494283800	Biggest story today between Clapper & Yates is on surveillance. Why doesn't the media report on this?  #FakeNews!	['FakeNews']	[]		realDonaldTrump
6024	4.0	0.1789	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	861713823505494016	58628		https://twitter.com/realDonaldTrump/status/861713823505494016	14734	1494283560	The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?	[]	[]		realDonaldTrump
6025	0.0	0.2088	fake_news, bad, medium, time, story, call, report, show, news, white_house	861713233786404864	48008		https://twitter.com/realDonaldTrump/status/861713233786404864	9859	1494283380	Sally Yates made the fake media extremely unhappy today --- she said nothing but old news!	[]	[]		realDonaldTrump
6026	4.0	0.1789	russia, collusion, fbi, campaign, witch_hunt, election, obama, total, russian, fire	861712617299210240	61006		https://twitter.com/realDonaldTrump/status/861712617299210240	15505	1494283260	"Director Clapper reiterated what everybody, including the fake media already knows- there is no evidence"" of collusion w/ Russia and Trump."""	[]	[]		realDonaldTrump
6027	8.0	0.1501	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	861637456281690113	32621	https://instagram.com/p/BT1xH1ngciK/	https://twitter.com/realDonaldTrump/status/861637456281690113	6063	1494265320	Honored to welcome Georgia Prime Minister, Giorgi Kvirikashvili to the  @WhiteHouse today with  @VP Mike Pence.  	[]	['WhiteHouse', 'VP']	pic.twitter.com/FnKkuWLFDp	realDonaldTrump
6028	0.0	0.1481	fake_news, bad, medium, time, story, call, report, show, news, white_house	861592420043157504	58856		https://twitter.com/realDonaldTrump/status/861592420043157504	17812	1494254580	Ask Sally Yates, under oath, if she knows how classified information got into the newspapers soon after she explained it to W.H. Counsel.	[]	[]		realDonaldTrump
